iter	Passed	Remaining
0	0	46
1	0	40
2	0	37
3	0	36
4	1	35
5	1	34
6	1	34
7	1	33
8	1	33
9	2	32
10	2	32
11	2	32
12	2	31
13	3	31
14	3	31
15	3	30
16	3	30
17	3	30
18	4	30
19	4	29
20	4	30
21	4	29
22	4	29
23	5	29
24	5	29
25	5	29
26	5	28
27	6	28
28	6	28
29	6	28
30	6	28
31	7	28
32	7	27
33	7	27
34	7	27
35	7	27
36	8	27
37	8	27
38	8	26
39	9	27
40	9	26
41	9	26
42	9	26
43	9	25
44	10	25
45	10	25
46	10	25
47	10	25
48	10	24
49	11	24
50	11	24
51	11	24
52	11	23
53	12	23
54	12	23
55	12	23
56	12	22
57	12	22
58	13	22
59	13	22
60	13	21
61	13	21
62	13	21
63	14	21
64	14	20
65	14	20
66	14	20
67	14	20
68	15	19
69	15	19
70	15	19
71	15	19
72	15	19
73	16	18
74	16	18
75	16	18
76	16	18
77	17	17
78	17	17
79	17	17
80	17	17
81	17	17
82	18	16
83	18	16
84	18	16
85	18	16
86	18	15
87	19	15
88	19	15
89	19	15
90	19	15
91	20	14
92	20	14
93	20	14
94	20	14
95	20	13
96	21	13
97	21	13
98	21	13
99	21	13
100	22	12
101	22	12
102	22	12
103	22	12
104	23	12
105	23	11
106	23	11
107	23	11
108	24	11
109	24	11
110	24	10
111	24	10
112	24	10
113	25	10
114	25	9
115	25	9
116	25	9
117	26	9
118	26	9
119	26	8
120	26	8
121	26	8
122	27	8
123	27	7
124	27	7
125	27	7
126	27	7
127	28	7
128	28	6
129	28	6
130	28	6
131	28	6
132	29	5
133	29	5
134	29	5
135	29	5
136	30	5
137	30	4
138	30	4
139	30	4
140	30	4
141	31	3
142	31	3
143	31	3
144	31	3
145	32	3
146	32	2
147	32	2
148	32	2
149	33	2
150	33	1
151	33	1
152	33	1
153	33	1
154	34	1
155	34	0
156	34	0
157	34	0
158	34	0
159	35	0
